id,constituency,state,party,first_votes,second_votes
135,Lippe I,Nordrhein-Westfalen,cdu,44618,38974
136,Höxter – Lippe II,Nordrhein-Westfalen,cdu,53297,43267
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,cdu,84670,58421
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,cdu,37721,34212
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,cdu,33357,29856
140,Bochum I,Nordrhein-Westfalen,cdu,32961,29863
141,Herne – Bochum II,Nordrhein-Westfalen,cdu,24068,23166
142,Dortmund I,Nordrhein-Westfalen,cdu,30051,27797
143,Dortmund II,Nordrhein-Westfalen,cdu,28897,27650
144,Unna I,Nordrhein-Westfalen,cdu,36810,31995
145,Hamm – Unna II,Nordrhein-Westfalen,cdu,44266,40444
146,Soest,Nordrhein-Westfalen,cdu,58791,51696
147,Hochsauerlandkreis,Nordrhein-Westfalen,cdu,62811,52018
148,Siegen-Wittgenstein,Nordrhein-Westfalen,cdu,54043,42157
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,cdu,56879,50364
150,Märkischer Kreis II,Nordrhein-Westfalen,cdu,47935,40363
151,Nordsachsen,Sachsen,cdu,26882,22998
152,Leipzig I,Sachsen,cdu,34100,24949
153,Leipzig II,Sachsen,cdu,29538,23558
154,Leipzig-Land,Sachsen,cdu,39060,32708
155,Meißen,Sachsen,cdu,32924,25907
156,Bautzen I,Sachsen,cdu,40928,29213
157,Görlitz,Sachsen,cdu,39299,27633
158,Sächsische Schweiz-Osterzgebirge,Sachsen,cdu,29173,26028
159,Dresden I,Sachsen,cdu,37809,27708
160,Dresden II – Bautzen II,Sachsen,cdu,35012,26035
161,Mittelsachsen,Sachsen,cdu,34636,25603
162,Chemnitz,Sachsen,cdu,25802,20713
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,cdu,32110,24661
164,Erzgebirgskreis I,Sachsen,cdu,40550,31341
165,Zwickau,Sachsen,cdu,30792,27024
166,Vogtlandkreis,Sachsen,cdu,37635,26781
167,Waldeck,Hessen,cdu,35734,30394
168,Kassel,Hessen,cdu,32761,28181
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,cdu,34525,27867
170,Schwalm-Eder,Hessen,cdu,33440,29913
171,Marburg,Hessen,cdu,36528,31040
172,Lahn-Dill,Hessen,cdu,45441,37724
173,Gießen,Hessen,cdu,47136,36122
174,Fulda,Hessen,cdu,61574,50307
175,Main-Kinzig – Wetterau II – Schotten,Hessen,cdu,37119,32681
176,Hochtaunus,Hessen,cdu,44549,37331
177,Wetterau I,Hessen,cdu,38796,32416
178,Rheingau-Taunus – Limburg,Hessen,cdu,51318,44414
179,Wiesbaden,Hessen,cdu,35374,28522
180,Hanau,Hessen,cdu,36019,29220
181,Main-Taunus,Hessen,cdu,51943,42229
182,Frankfurt am Main I,Hessen,cdu,31163,25915
183,Frankfurt am Main II,Hessen,cdu,38996,31661
184,Groß-Gerau,Hessen,cdu,35334,27301
185,Offenbach,Hessen,cdu,43330,35743
186,Darmstadt,Hessen,cdu,42351,34462
187,Odenwald,Hessen,cdu,49364,42858
188,Bergstraße,Hessen,cdu,46121,37059
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,cdu,40600,33664
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,cdu,35423,28248
191,Jena – Sömmerda – Weimarer Land I,Thüringen,cdu,28169,23868
192,Gotha – Ilm-Kreis,Thüringen,cdu,25920,21825
193,Erfurt – Weimar – Weimarer Land II,Thüringen,cdu,28636,23578
194,Gera – Greiz – Altenburger Land,Thüringen,cdu,33068,27304
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,cdu,34483,27005
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,cdu,37727,27921
197,Neuwied,Rheinland-Pfalz,cdu,57429,48340
198,Ahrweiler,Rheinland-Pfalz,cdu,50282,41945
199,Koblenz,Rheinland-Pfalz,cdu,46074,37958
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,cdu,45364,38664
201,Kreuznach,Rheinland-Pfalz,cdu,39588,33402
202,Bitburg,Rheinland-Pfalz,cdu,46227,37020
203,Trier,Rheinland-Pfalz,cdu,40273,34563
204,Montabaur,Rheinland-Pfalz,cdu,48608,43125
205,Mainz,Rheinland-Pfalz,cdu,47208,42709
206,Worms,Rheinland-Pfalz,cdu,52824,37547
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,cdu,38193,33727
208,Neustadt – Speyer,Rheinland-Pfalz,cdu,51770,41322
209,Kaiserslautern,Rheinland-Pfalz,cdu,35803,33226
210,Pirmasens,Rheinland-Pfalz,cdu,39181,33453
211,Südpfalz,Rheinland-Pfalz,cdu,47851,39424
212,Altötting,Bayern,cdu,55694,44066
213,Erding – Ebersberg,Bayern,cdu,70654,55991
214,Freising,Bayern,cdu,69687,62927
215,Fürstenfeldbruck,Bayern,cdu,72722,63944
216,Ingolstadt,Bayern,cdu,83663,64559
217,München-Nord,Bayern,cdu,44854,39996
218,München-Ost,Bayern,cdu,61111,49284
219,München-Süd,Bayern,cdu,46058,40585
220,München-West/Mitte,Bayern,cdu,53302,45549
221,München-Land,Bayern,cdu,77521,64664
222,Rosenheim,Bayern,cdu,68648,59119
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,cdu,55500,46305
224,Starnberg – Landsberg am Lech,Bayern,cdu,68594,57919
225,Traunstein,Bayern,cdu,59525,51404
226,Weilheim,Bayern,cdu,57180,48178
227,Deggendorf,Bayern,cdu,47268,42155
228,Landshut,Bayern,cdu,70683,64381
229,Passau,Bayern,cdu,41529,44215
230,Rottal-Inn,Bayern,cdu,46493,45688
231,Straubing,Bayern,cdu,58484,46738
232,Amberg,Bayern,cdu,69257,60414
233,Regensburg,Bayern,cdu,69839,61188
234,Schwandorf,Bayern,cdu,60927,59438
235,Weiden,Bayern,cdu,50576,46454
236,Bamberg,Bayern,cdu,54725,49464
237,Bayreuth,Bayern,cdu,54465,43765
238,Coburg,Bayern,cdu,44890,39345
239,Hof,Bayern,cdu,51312,41307
240,Kulmbach,Bayern,cdu,65163,49390
241,Ansbach,Bayern,cdu,73313,63302
242,Erlangen,Bayern,cdu,54275,44696
243,Fürth,Bayern,cdu,65875,58978
244,Nürnberg-Nord,Bayern,cdu,41023,34350
245,Nürnberg-Süd,Bayern,cdu,44174,38641
246,Roth,Bayern,cdu,71477,60979
247,Aschaffenburg,Bayern,cdu,59261,45734
248,Bad Kissingen,Bayern,cdu,67454,65060
249,Main-Spessart,Bayern,cdu,60490,54100
250,Schweinfurt,Bayern,cdu,63694,54439
251,Würzburg,Bayern,cdu,67646,55954
252,Augsburg-Stadt,Bayern,cdu,42779,38653
253,Augsburg-Land,Bayern,cdu,82420,67884
254,Donau-Ries,Bayern,cdu,64045,54929
255,Neu-Ulm,Bayern,cdu,69687,59045
256,Oberallgäu,Bayern,cdu,53568,55012
257,Ostallgäu,Bayern,cdu,76399,62638
258,Stuttgart I,Baden-Württemberg,cdu,36601,31534
259,Stuttgart II,Baden-Württemberg,cdu,34301,28403
260,Böblingen,Baden-Württemberg,cdu,57504,50676
261,Esslingen,Baden-Württemberg,cdu,41976,33175
262,Nürtingen,Baden-Württemberg,cdu,49482,42807
263,Göppingen,Baden-Württemberg,cdu,41556,35078
264,Waiblingen,Baden-Württemberg,cdu,50565,44987
265,Ludwigsburg,Baden-Württemberg,cdu,50293,42304
266,Neckar-Zaber,Baden-Württemberg,cdu,56247,46316
267,Heilbronn,Baden-Württemberg,cdu,50298,43324
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,cdu,54896,41950
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,cdu,41151,35030
270,Aalen – Heidenheim,Baden-Württemberg,cdu,61781,45819
271,Karlsruhe-Stadt,Baden-Württemberg,cdu,30920,27996
272,Karlsruhe-Land,Baden-Württemberg,cdu,50581,42831
273,Rastatt,Baden-Württemberg,cdu,50991,41499
274,Heidelberg,Baden-Württemberg,cdu,42582,36783
275,Mannheim,Baden-Württemberg,cdu,27981,25671
276,Odenwald – Tauber,Baden-Württemberg,cdu,57391,48866
277,Rhein-Neckar,Baden-Württemberg,cdu,43307,38731
278,Bruchsal – Schwetzingen,Baden-Württemberg,cdu,44465,38866
279,Pforzheim,Baden-Württemberg,cdu,46289,39323
280,Calw,Baden-Württemberg,cdu,51214,42847
281,Freiburg,Baden-Württemberg,cdu,37109,31300
282,Lörrach – Müllheim,Baden-Württemberg,cdu,43511,38499
283,Emmendingen – Lahr,Baden-Württemberg,cdu,46410,41326
284,Offenburg,Baden-Württemberg,cdu,54139,40211
285,Rottweil – Tuttlingen,Baden-Württemberg,cdu,46535,40818
286,Schwarzwald-Baar,Baden-Württemberg,cdu,44188,32317
287,Konstanz,Baden-Württemberg,cdu,53360,36208
288,Waldshut,Baden-Württemberg,cdu,45192,35474
289,Reutlingen,Baden-Württemberg,cdu,49631,39505
290,Tübingen,Baden-Württemberg,cdu,43021,34773
291,Ulm,Baden-Württemberg,cdu,57611,46806
292,Biberach,Baden-Württemberg,cdu,46193,40205
293,Bodensee,Baden-Württemberg,cdu,41622,36568
294,Ravensburg,Baden-Württemberg,cdu,44591,38922
295,Zollernalb – Sigmaringen,Baden-Württemberg,cdu,41106,39332
296,Saarbrücken,Saarland,cdu,35252,28798
297,Saarlouis,Saarland,cdu,43669,38084
298,St. Wendel,Saarland,cdu,43923,36246
299,Homburg,Saarland,cdu,36474,32006
1,Flensburg – Schleswig,Schleswig-Holstein,fdp,12298,19188
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,fdp,13963,18350
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,fdp,19303,18499
4,Rendsburg-Eckernförde,Schleswig-Holstein,fdp,12900,19317
5,Kiel,Schleswig-Holstein,fdp,11499,16168
6,Plön – Neumünster,Schleswig-Holstein,fdp,12420,15902
7,Pinneberg,Schleswig-Holstein,fdp,20464,25321
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,fdp,20575,27675
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,fdp,13288,17986
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,fdp,20546,27692
11,Lübeck,Schleswig-Holstein,fdp,8341,11963
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,fdp,11755,13154
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,fdp,10322,11629
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,fdp,12242,14857
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,fdp,11015,13775
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,fdp,11168,11438
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,fdp,9824,10607
18,Hamburg-Mitte,Hamburg,fdp,14352,18630
19,Hamburg-Altona,Hamburg,fdp,12409,16558
20,Hamburg-Eimsbüttel,Hamburg,fdp,12961,18159
21,Hamburg-Nord,Hamburg,fdp,15783,26165
22,Hamburg-Wandsbek,Hamburg,fdp,15714,19220
23,Hamburg-Bergedorf – Harburg,Hamburg,fdp,13343,15670
24,Aurich – Emden,Niedersachsen,fdp,11784,12099
25,Unterems,Niedersachsen,fdp,10763,17672
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,fdp,9502,13874
27,Oldenburg – Ammerland,Niedersachsen,fdp,12858,17673
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,fdp,17275,18569
29,Cuxhaven – Stade II,Niedersachsen,fdp,9622,14052
30,Stade I – Rotenburg II,Niedersachsen,fdp,12018,16719
31,Mittelems,Niedersachsen,fdp,17466,21075
32,Cloppenburg – Vechta,Niedersachsen,fdp,14397,19747
33,Diepholz – Nienburg I,Niedersachsen,fdp,13671,17627
34,Osterholz – Verden,Niedersachsen,fdp,13754,15642
35,Rotenburg I – Heidekreis,Niedersachsen,fdp,7353,12526
36,Harburg,Niedersachsen,fdp,14395,20425
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,fdp,9516,13255
38,Osnabrück-Land,Niedersachsen,fdp,13003,16653
39,Stadt Osnabrück,Niedersachsen,fdp,10089,14627
40,Nienburg II – Schaumburg,Niedersachsen,fdp,8804,14210
41,Stadt Hannover I,Niedersachsen,fdp,9573,13282
42,Stadt Hannover II,Niedersachsen,fdp,9543,13288
43,Hannover-Land I,Niedersachsen,fdp,12557,19551
44,Celle – Uelzen,Niedersachsen,fdp,13413,17991
45,Gifhorn – Peine,Niedersachsen,fdp,10739,16238
46,Hameln-Pyrmont – Holzminden,Niedersachsen,fdp,9102,13624
47,Hannover-Land II,Niedersachsen,fdp,11883,18319
48,Hildesheim,Niedersachsen,fdp,11507,15395
49,Salzgitter – Wolfenbüttel,Niedersachsen,fdp,9545,13465
50,Braunschweig,Niedersachsen,fdp,9816,14045
51,Helmstedt – Wolfsburg,Niedersachsen,fdp,9766,13073
52,Goslar – Northeim – Osterode,Niedersachsen,fdp,8826,14238
53,Göttingen,Niedersachsen,fdp,15260,15637
54,Bremen I,Bremen,fdp,13900,18349
55,Bremen II – Bremerhaven,Bremen,fdp,8453,12057
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,fdp,7354,9071
57,Uckermark – Barnim I,Brandenburg,fdp,10964,10421
58,Oberhavel – Havelland II,Brandenburg,fdp,17319,19799
59,Märkisch-Oderland – Barnim II,Brandenburg,fdp,12271,14936
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,fdp,9266,11930
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,fdp,16870,20219
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,fdp,15080,18904
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,fdp,9974,12431
64,Cottbus – Spree-Neiße,Brandenburg,fdp,11400,13603
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,fdp,10597,11114
66,Altmark,Sachsen-Anhalt,fdp,9125,9396
67,Börde – Jerichower Land,Sachsen-Anhalt,fdp,11816,13588
68,Harz,Sachsen-Anhalt,fdp,10063,12533
69,Magdeburg,Sachsen-Anhalt,fdp,12140,14673
70,Dessau – Wittenberg,Sachsen-Anhalt,fdp,7591,10402
71,Anhalt,Sachsen-Anhalt,fdp,10636,12704
72,Halle,Sachsen-Anhalt,fdp,11867,15149
73,Burgenland – Saalekreis,Sachsen-Anhalt,fdp,11764,12785
74,Mansfeld,Sachsen-Anhalt,fdp,11087,12784
75,Berlin-Mitte,Berlin,fdp,10038,13179
76,Berlin-Pankow,Berlin,fdp,12509,14652
77,Berlin-Reinickendorf,Berlin,fdp,10907,13395
78,Berlin-Spandau – Charlottenburg Nord,Berlin,fdp,10427,12434
79,Berlin-Steglitz-Zehlendorf,Berlin,fdp,15961,22173
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,fdp,14934,20022
81,Berlin-Tempelhof-Schöneberg,Berlin,fdp,12820,16683
82,Berlin-Neukölln,Berlin,fdp,8631,9767
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,fdp,9225,10851
84,Berlin-Treptow-Köpenick,Berlin,fdp,9236,12651
85,Berlin-Marzahn-Hellersdorf,Berlin,fdp,6158,9772
86,Berlin-Lichtenberg,Berlin,fdp,8678,10064
87,Aachen I,Nordrhein-Westfalen,fdp,10906,15032
88,Aachen II,Nordrhein-Westfalen,fdp,12055,17893
89,Heinsberg,Nordrhein-Westfalen,fdp,10689,16022
90,Düren,Nordrhein-Westfalen,fdp,11237,17104
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,fdp,17542,24227
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,fdp,19804,23317
93,Köln I,Nordrhein-Westfalen,fdp,11490,15040
94,Köln II,Nordrhein-Westfalen,fdp,16950,26470
95,Köln III,Nordrhein-Westfalen,fdp,10708,13845
96,Bonn,Nordrhein-Westfalen,fdp,23198,21902
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,fdp,16603,23124
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,fdp,13914,23435
99,Oberbergischer Kreis,Nordrhein-Westfalen,fdp,15636,19796
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,fdp,29570,24378
101,Leverkusen – Köln IV,Nordrhein-Westfalen,fdp,11050,15931
102,Wuppertal I,Nordrhein-Westfalen,fdp,13756,15970
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,fdp,17405,20265
104,Mettmann I,Nordrhein-Westfalen,fdp,14873,21083
105,Mettmann II,Nordrhein-Westfalen,fdp,11157,16235
106,Düsseldorf I,Nordrhein-Westfalen,fdp,24242,27743
107,Düsseldorf II,Nordrhein-Westfalen,fdp,14143,17335
108,Neuss I,Nordrhein-Westfalen,fdp,12932,20332
109,Mönchengladbach,Nordrhein-Westfalen,fdp,10957,15458
110,Krefeld I – Neuss II,Nordrhein-Westfalen,fdp,18780,22069
111,Viersen,Nordrhein-Westfalen,fdp,15140,22281
112,Kleve,Nordrhein-Westfalen,fdp,14821,19542
113,Wesel I,Nordrhein-Westfalen,fdp,14452,17303
114,Krefeld II – Wesel II,Nordrhein-Westfalen,fdp,10952,14899
115,Duisburg I,Nordrhein-Westfalen,fdp,8203,10595
116,Duisburg II,Nordrhein-Westfalen,fdp,6901,7913
117,Oberhausen – Wesel III,Nordrhein-Westfalen,fdp,10132,13573
118,Mülheim – Essen I,Nordrhein-Westfalen,fdp,11883,15186
119,Essen II,Nordrhein-Westfalen,fdp,6976,9531
120,Essen III,Nordrhein-Westfalen,fdp,10871,17954
121,Recklinghausen I,Nordrhein-Westfalen,fdp,8481,11990
122,Recklinghausen II,Nordrhein-Westfalen,fdp,11283,13573
123,Gelsenkirchen,Nordrhein-Westfalen,fdp,9014,9721
124,Steinfurt I – Borken I,Nordrhein-Westfalen,fdp,14515,17783
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,fdp,11364,14650
126,Borken II,Nordrhein-Westfalen,fdp,13404,19081
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,fdp,12409,17927
128,Steinfurt III,Nordrhein-Westfalen,fdp,11393,16113
129,Münster,Nordrhein-Westfalen,fdp,13038,20786
130,Warendorf,Nordrhein-Westfalen,fdp,12787,18194
131,Gütersloh I,Nordrhein-Westfalen,fdp,13507,21208
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,fdp,17795,20648
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,fdp,14020,19878
134,Minden-Lübbecke I,Nordrhein-Westfalen,fdp,12494,17484
135,Lippe I,Nordrhein-Westfalen,fdp,16625,20198
136,Höxter – Lippe II,Nordrhein-Westfalen,fdp,9463,15488
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,fdp,9845,21878
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,fdp,13520,16179
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,fdp,11530,14432
140,Bochum I,Nordrhein-Westfalen,fdp,13656,14552
141,Herne – Bochum II,Nordrhein-Westfalen,fdp,8441,10626
142,Dortmund I,Nordrhein-Westfalen,fdp,10416,14550
143,Dortmund II,Nordrhein-Westfalen,fdp,10270,13629
144,Unna I,Nordrhein-Westfalen,fdp,9137,15286
145,Hamm – Unna II,Nordrhein-Westfalen,fdp,12058,16764
146,Soest,Nordrhein-Westfalen,fdp,17825,21004
147,Hochsauerlandkreis,Nordrhein-Westfalen,fdp,10806,18712
148,Siegen-Wittgenstein,Nordrhein-Westfalen,fdp,13590,18595
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,fdp,15946,19227
150,Märkischer Kreis II,Nordrhein-Westfalen,fdp,12750,17127
151,Nordsachsen,Sachsen,fdp,10251,12475
152,Leipzig I,Sachsen,fdp,13397,17655
153,Leipzig II,Sachsen,fdp,13272,17438
154,Leipzig-Land,Sachsen,fdp,15693,18322
155,Meißen,Sachsen,fdp,13728,17207
156,Bautzen I,Sachsen,fdp,12634,17188
157,Görlitz,Sachsen,fdp,11220,15039
158,Sächsische Schweiz-Osterzgebirge,Sachsen,fdp,12921,17814
159,Dresden I,Sachsen,fdp,18588,21988
160,Dresden II – Bautzen II,Sachsen,fdp,20717,22882
161,Mittelsachsen,Sachsen,fdp,14420,16903
162,Chemnitz,Sachsen,fdp,13934,15782
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,fdp,11872,15116
164,Erzgebirgskreis I,Sachsen,fdp,11914,16208
165,Zwickau,Sachsen,fdp,13985,15426
166,Vogtlandkreis,Sachsen,fdp,11509,13706
167,Waldeck,Hessen,fdp,12072,15283
168,Kassel,Hessen,fdp,12947,16436
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,fdp,7135,12807
170,Schwalm-Eder,Hessen,fdp,12233,15421
171,Marburg,Hessen,fdp,9335,14806
172,Lahn-Dill,Hessen,fdp,12056,17327
173,Gießen,Hessen,fdp,12068,17047
174,Fulda,Hessen,fdp,13892,20528
175,Main-Kinzig – Wetterau II – Schotten,Hessen,fdp,15094,17038
176,Hochtaunus,Hessen,fdp,16132,21994
177,Wetterau I,Hessen,fdp,15000,19044
178,Rheingau-Taunus – Limburg,Hessen,fdp,18126,23746
179,Wiesbaden,Hessen,fdp,13996,18945
180,Hanau,Hessen,fdp,13105,17156
181,Main-Taunus,Hessen,fdp,20278,26311
182,Frankfurt am Main I,Hessen,fdp,16369,21361
183,Frankfurt am Main II,Hessen,fdp,19766,25530
184,Groß-Gerau,Hessen,fdp,10725,14998
185,Offenbach,Hessen,fdp,14827,20626
186,Darmstadt,Hessen,fdp,17192,22256
187,Odenwald,Hessen,fdp,17113,22437
188,Bergstraße,Hessen,fdp,16175,20426
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,fdp,10348,13697
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,fdp,8867,13261
191,Jena – Sömmerda – Weimarer Land I,Thüringen,fdp,10688,14071
192,Gotha – Ilm-Kreis,Thüringen,fdp,9491,12126
193,Erfurt – Weimar – Weimarer Land II,Thüringen,fdp,12308,15504
194,Gera – Greiz – Altenburger Land,Thüringen,fdp,14276,16212
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,fdp,12343,15425
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,fdp,10685,13990
197,Neuwied,Rheinland-Pfalz,fdp,15931,20751
198,Ahrweiler,Rheinland-Pfalz,fdp,12123,17483
199,Koblenz,Rheinland-Pfalz,fdp,11179,16371
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,fdp,15664,16664
201,Kreuznach,Rheinland-Pfalz,fdp,9753,15704
202,Bitburg,Rheinland-Pfalz,fdp,9011,13983
203,Trier,Rheinland-Pfalz,fdp,10126,16186
204,Montabaur,Rheinland-Pfalz,fdp,15131,19050
205,Mainz,Rheinland-Pfalz,fdp,14432,23211
206,Worms,Rheinland-Pfalz,fdp,12966,20095
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,fdp,13687,18420
208,Neustadt – Speyer,Rheinland-Pfalz,fdp,14624,21827
209,Kaiserslautern,Rheinland-Pfalz,fdp,11870,17242
210,Pirmasens,Rheinland-Pfalz,fdp,9874,14353
211,Südpfalz,Rheinland-Pfalz,fdp,17017,21117
212,Altötting,Bayern,fdp,9244,13295
213,Erding – Ebersberg,Bayern,fdp,13224,20227
214,Freising,Bayern,fdp,14688,21739
215,Fürstenfeldbruck,Bayern,fdp,16029,23045
216,Ingolstadt,Bayern,fdp,10876,19802
217,München-Nord,Bayern,fdp,19477,25953
218,München-Ost,Bayern,fdp,18104,27092
219,München-Süd,Bayern,fdp,16437,21485
220,München-West/Mitte,Bayern,fdp,19153,26401
221,München-Land,Bayern,fdp,18180,28706
222,Rosenheim,Bayern,fdp,17670,23044
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,fdp,11634,17070
224,Starnberg – Landsberg am Lech,Bayern,fdp,16601,23906
225,Traunstein,Bayern,fdp,12259,15736
226,Weilheim,Bayern,fdp,8551,14312
227,Deggendorf,Bayern,fdp,6327,10775
228,Landshut,Bayern,fdp,22772,20205
229,Passau,Bayern,fdp,10515,12782
230,Rottal-Inn,Bayern,fdp,10210,12904
231,Straubing,Bayern,fdp,6896,11605
232,Amberg,Bayern,fdp,10211,15064
233,Regensburg,Bayern,fdp,13754,18773
234,Schwandorf,Bayern,fdp,7333,12649
235,Weiden,Bayern,fdp,6301,9601
236,Bamberg,Bayern,fdp,9820,14335
237,Bayreuth,Bayern,fdp,9180,12020
238,Coburg,Bayern,fdp,6368,10683
239,Hof,Bayern,fdp,6493,10553
240,Kulmbach,Bayern,fdp,6482,11399
241,Ansbach,Bayern,fdp,13024,16212
242,Erlangen,Bayern,fdp,10388,16084
243,Fürth,Bayern,fdp,12884,18766
244,Nürnberg-Nord,Bayern,fdp,10882,14692
245,Nürnberg-Süd,Bayern,fdp,8765,11479
246,Roth,Bayern,fdp,12595,16973
247,Aschaffenburg,Bayern,fdp,11680,16198
248,Bad Kissingen,Bayern,fdp,12205,15212
249,Main-Spessart,Bayern,fdp,9515,14151
250,Schweinfurt,Bayern,fdp,12407,15037
251,Würzburg,Bayern,fdp,19412,19226
252,Augsburg-Stadt,Bayern,fdp,12881,16968
253,Augsburg-Land,Bayern,fdp,16032,22301
254,Donau-Ries,Bayern,fdp,9915,15593
255,Neu-Ulm,Bayern,fdp,14518,22003
256,Oberallgäu,Bayern,fdp,23605,20953
257,Ostallgäu,Bayern,fdp,14262,21572
258,Stuttgart I,Baden-Württemberg,fdp,16504,26036
259,Stuttgart II,Baden-Württemberg,fdp,14691,20271
260,Böblingen,Baden-Württemberg,fdp,32183,35080
261,Esslingen,Baden-Württemberg,fdp,16011,20901
262,Nürtingen,Baden-Württemberg,fdp,22751,28789
263,Göppingen,Baden-Württemberg,fdp,16481,21723
264,Waiblingen,Baden-Württemberg,fdp,27123,30999
265,Ludwigsburg,Baden-Württemberg,fdp,23886,27609
266,Neckar-Zaber,Baden-Württemberg,fdp,22790,30782
267,Heilbronn,Baden-Württemberg,fdp,24746,29384
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,fdp,19941,27850
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,fdp,16182,21342
270,Aalen – Heidenheim,Baden-Württemberg,fdp,15689,24534
271,Karlsruhe-Stadt,Baden-Württemberg,fdp,15789,20613
272,Karlsruhe-Land,Baden-Württemberg,fdp,19066,24660
273,Rastatt,Baden-Württemberg,fdp,17764,21250
274,Heidelberg,Baden-Württemberg,fdp,15906,23240
275,Mannheim,Baden-Württemberg,fdp,14888,18518
276,Odenwald – Tauber,Baden-Württemberg,fdp,15549,20942
277,Rhein-Neckar,Baden-Württemberg,fdp,17699,21861
278,Bruchsal – Schwetzingen,Baden-Württemberg,fdp,17635,21978
279,Pforzheim,Baden-Württemberg,fdp,20631,26506
280,Calw,Baden-Württemberg,fdp,22681,26760
281,Freiburg,Baden-Württemberg,fdp,13833,19144
282,Lörrach – Müllheim,Baden-Württemberg,fdp,24430,24667
283,Emmendingen – Lahr,Baden-Württemberg,fdp,16622,22136
284,Offenburg,Baden-Württemberg,fdp,16688,22799
285,Rottweil – Tuttlingen,Baden-Württemberg,fdp,24782,26768
